municipio,pre_2013,pos_2013,sede,tipo_alteracao
Abrantes,ABRANTES (SÃO JOÃO),UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,ABRANTES (SÃO VICENTE),criada por agregação
Abrantes,ABRANTES (SÃO VICENTE),UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,ABRANTES (SÃO VICENTE),criada por agregação
Abrantes,ALDEIA DO MATO,UNIÃO DAS FREGUESIAS DE ALDEIA DO MATO E SOUTO,ALDEIA DO MATO,criada por agregação
Abrantes,ALFERRAREDE,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,ABRANTES (SÃO VICENTE),criada por agregação
Abrantes,ALVEGA,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,ALVEGA,criada por agregação
Abrantes,BEMPOSTA,BEMPOSTA,BEMPOSTA,sem alteração
Abrantes,CARVALHAL,CARVALHAL,CARVALHAL,sem alteração
Abrantes,CONCAVADA,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,ALVEGA,criada por agregação
Abrantes,FONTES,FONTES,FONTES,sem alteração
Abrantes,MARTINCHEL,MARTINCHEL,MARTINCHEL,sem alteração
Abrantes,MOURISCAS,MOURISCAS,MOURISCAS,sem alteração
Abrantes,PEGO,PEGO,PEGO,sem alteração
Abrantes,RIO DE MOINHOS,RIO DE MOINHOS,RIO DE MOINHOS,sem alteração
Abrantes,ROSSIO AO SUL DO TEJO,UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO RIO TORTO E ROSSIO AO SUL DO TEJO,SÃO MIGUEL DO RIO TORTO,criada por agregação
Abrantes,SÃO FACUNDO,UNIÃO DAS FREGUESIAS DE SÃO FACUNDO E VALE DE MÓS,SÃO FACUNDO,criada por agregação
Abrantes,SÃO MIGUEL DO RIO TORTO,UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO RIO TORTO E ROSSIO AO SUL DO TEJO,SÃO MIGUEL DO RIO TORTO,criada por agregação
Abrantes,SOUTO,UNIÃO DAS FREGUESIAS DE ALDEIA DO MATO E SOUTO,ALDEIA DO MATO,criada por agregação
Abrantes,TRAMAGAL,TRAMAGAL,TRAMAGAL,sem alteração
Abrantes,VALE DE MÓS,UNIÃO DAS FREGUESIAS DE SÃO FACUNDO E VALE DE MÓS,SÃO FACUNDO,criada por agregação
