municipio,antiga,nova,territorio,total,sede
Abrantes,ABRANTES (SÃO JOÃO),UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,Nenhuma,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,ABRANTES (SÃO VICENTE)
Abrantes,ABRANTES (SÃO VICENTE),UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,Nenhuma,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,ABRANTES (SÃO VICENTE)
Abrantes,ALFERRAREDE,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,Nenhuma,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,ABRANTES (SÃO VICENTE)
Abrantes,ALDEIA DO MATO,UNIÃO DAS FREGUESIAS DE ALDEIA DO MATO E SOUTO,Nenhuma,UNIÃO DAS FREGUESIAS DE ALDEIA DO MATO E SOUTO,ALDEIA DO MATO
Abrantes,SOUTO,UNIÃO DAS FREGUESIAS DE ALDEIA DO MATO E SOUTO,Nenhuma,UNIÃO DAS FREGUESIAS DE ALDEIA DO MATO E SOUTO,ALDEIA DO MATO
Abrantes,ALVEGA,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,ALVEGA
Abrantes,CONCAVADA,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,ALVEGA
Abrantes,SÃO FACUNDO,UNIÃO DAS FREGUESIAS DE SÃO FACUNDO E VALE DE MÓS,Nenhuma,UNIÃO DAS FREGUESIAS DE SÃO FACUNDO E VALE DE MÓS,SÃO FACUNDO
Abrantes,VALE DE MÓS,UNIÃO DAS FREGUESIAS DE SÃO FACUNDO E VALE DE MÓS,Nenhuma,UNIÃO DAS FREGUESIAS DE SÃO FACUNDO E VALE DE MÓS,SÃO FACUNDO
Abrantes,ROSSIO AO SUL DO TEJO,UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO RIO TORTO E ROSSIO AO SUL DO TEJO,Nenhuma,UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO RIO TORTO E ROSSIO AO SUL DO TEJO,SÃO MIGUEL DO RIO TORTO
